date,ph
04/15/2016 18:10:05,8.0399
04/15/2016 18:15:06,8.0402
04/15/2016 18:20:07,8.0437
04/15/2016 18:25:08,8.047
04/15/2016 18:30:09,8.0523
04/15/2016 18:35:10,8.0535
04/15/2016 18:40:11,8.0571
04/15/2016 18:45:12,8.0577
04/15/2016 18:50:13,8.062
04/15/2016 18:55:14,8.066
04/15/2016 19:00:15,8.0692
04/15/2016 19:05:16,8.0738
04/15/2016 19:10:17,8.0762
04/15/2016 19:15:18,8.0742
04/15/2016 19:20:19,8.077
04/15/2016 19:25:20,8.0804
04/15/2016 19:30:21,8.083
04/15/2016 19:35:22,8.0887
04/15/2016 19:40:23,8.0906
04/15/2016 19:45:24,8.0891
04/15/2016 19:50:25,8.0918
04/15/2016 19:55:26,8.0958
04/15/2016 20:00:27,8.0991
04/15/2016 20:05:28,8.0997
04/15/2016 20:10:30,8.1015
04/15/2016 20:15:31,8.106
04/15/2016 20:20:31,8.1062
04/15/2016 20:25:33,8.1091
04/15/2016 20:30:34,8.1118
04/15/2016 20:35:35,8.1158
04/15/2016 20:40:36,8.1167
04/15/2016 20:45:37,8.1167
04/15/2016 20:50:38,8.1196
04/15/2016 20:55:39,8.1213
04/15/2016 21:00:40,8.125
04/15/2016 21:05:41,8.1264
04/15/2016 21:10:42,8.1277
04/15/2016 21:15:43,8.1277
04/15/2016 21:20:44,8.1306
04/15/2016 21:25:45,8.1317
04/15/2016 21:30:46,8.1343
04/15/2016 21:35:47,8.1371
04/15/2016 21:40:48,8.1419
04/15/2016 21:45:49,8.1375
04/15/2016 21:50:50,8.1426
04/15/2016 21:55:51,8.1425
04/15/2016 22:00:52,8.1457
04/15/2016 22:05:53,8.1517
04/15/2016 22:10:54,8.1492
04/15/2016 22:15:55,8.1489
04/15/2016 22:20:56,8.1506
04/15/2016 22:25:57,8.1536
04/15/2016 22:30:58,8.1562
04/15/2016 22:35:59,8.1576
04/15/2016 22:41:00,8.1584
04/15/2016 22:46:01,8.1587
04/15/2016 22:51:02,8.1591
04/15/2016 22:56:03,8.1628
04/15/2016 23:01:04,8.1644
04/15/2016 23:06:05,8.1666
04/15/2016 23:11:06,8.1646
04/15/2016 23:16:07,8.166
04/15/2016 23:21:08,8.1658
04/15/2016 23:26:09,8.1709
04/15/2016 23:31:10,8.173
04/15/2016 23:36:11,8.1745
04/15/2016 23:41:12,8.1729
04/15/2016 23:46:13,8.1774
04/15/2016 23:51:14,8.1774
04/15/2016 23:56:15,8.1785
04/16/2016 00:01:16,8.1789
04/16/2016 00:06:17,8.1806
04/16/2016 00:11:18,8.1809
